Id,RequiredApprover,CLIN,UNSPSC_Code,ManufacturerPartNumber,Manufacturer,SKU,Description,UnitofMeasure,QuantityInUnitofMeasure,MSRP,ContractUnitPrice,ContractDiscount,Category,Contract
1,0,,43211500,A896049,HP,A896049,USB Ergonomic Keyboard,Each,1,35,22.75,0.35,Options/Upgrade All Laptops,"1-13-70-02A, Supplement 9"
2,0,,43211500,H5M92AA,HP,H5M92AA,HP Business Top Load Case,Each,1,-39,-25.35,0.35,"Options/Upgrade Standard, Power Laptops","1-13-70-02A, Supplement 9"
3,0,,43211500,L6N36UP,HP,L6N36UP,"HP IDS UMA 810 G3 BNBPC, Win 10 Pro 64 w/DG Win7 64, Intel Core i5- 5300U Dual Core, Webcam Integrated 720p HD, 11.6 LED HD UWVA AG, 4GB 1600MHz DDR3L 1DM, 256GB M2 SATA-3 SSD, touchpad Backlit, No Optical Disc Drive, 6 Cell 44 WHr Long Life,  MDC v.92 Modem, Intel 7265AN abgn  2x2 +Bluetooth 4.0 LE MOW, 3/3/3 Warranty, AMT enabled, 45W Hardware Kit, eStar PCID Module, Touch PCID Module, Core i5 vPro-14 BLU Label, MS Win7 Logo BLU Label, HP 3y NextBusDayOnsite Notebook Only SVC",Each,1,3595,1869.4,0.48,Core Ultralight Laptop,"1-13-70-02A, Supplement 9"
